"barrio" "censo" "pp" "psoe" "cs" "vox" "masmadrid" "podemos" "otros" "abstencion"
"Almendrales" 13300 24.4 13.3 1.9 4.4 13.3 5.8 1.5 35.4
"Moscardo" 16231 25.8 13 1.9 4.9 13.8 6.9 1.4 32.3
"Zofio" 8981 21.3 14.8 1.8 4.7 14.9 7.1 2.4 33
"Pradolongo" 9507 22 13.9 1.3 4.3 11.3 6.2 1.4 39.6
"Entrevias" 24447 15.5 17.3 1.3 4.5 14.5 9.6 1.8 35.5
"San Diego" 24796 17 14 1.3 4.2 13.6 9.1 1.6 39.3
"Palomeras Bajas" 29416 18.5 15.9 1.9 4 19.5 11.9 1.5 26.7
"Palomeras Sureste" 31624 18.7 17 1.7 4.9 17.2 9.6 1.7 29.2
"Portazgo" 20436 18.8 15.5 1.2 4.8 14.9 9.8 1.6 33.4
"Numancia" 31722 21.2 14.3 1.6 4.6 14.3 8.5 1.8 33.8
"Pavones" 6933 27.2 15.7 2.3 5.1 16.1 6.6 1.5 25.6
"Horcajo" 4883 32 14.3 4.5 5.5 17.7 6.1 1.3 18.7
"Marroquina" 22131 36.6 14 3.1 5.3 15.1 5.3 1.4 19.3
"Media Legua" 13861 33.4 13.3 2.4 5.6 13.4 6.2 1.3 24.4
"Fontarron" 12567 26 14.2 1.8 4.9 14.8 7.2 1.3 29.8
"Vinateros" 12966 30.2 14.7 2.2 4.9 15.2 7.1 1.4 24.3
"Ventas" 34797 29.5 13.2 2.4 5 13.4 6 1.4 29.2
"Pueblo Nuevo" 44210 29.3 14.1 2.6 5.1 13.2 5.7 1.5 28.5
"Quintana" 17405 31.4 11.7 2.6 5.8 13 5.6 1.3 28.6
"Concepcion" 15453 35.8 10.9 3.3 6.1 12.9 5.3 1.2 24.4
"San Pascual" 14071 40.1 12.6 3.3 5.8 12 4.5 1.3 20.5
"San Juan Bautista" 9293 46 10 3.8 6.9 10.3 3.6 0.9 18.5
"Colina" 4702 45.4 10.9 4.1 7.2 10.5 3.5 1.3 17.2
"Atalaya" 1136 52.9 7.4 3.3 5.8 6.4 2.1 1 21.1
"Costillares" 17272 54 7.1 3.5 9.6 6.1 1.7 0.7 17.3
"Palomas" 4787 56.2 6.8 4.3 9.1 6.3 1.9 0.8 14.6
"Piovera" 10146 53.5 7.4 4 7.9 7.5 2.3 0.9 16.4
"Canillas" 31641 34.7 14.3 3.2 5.7 13.6 5.1 1.4 22.1
"Pinar del Rey" 40287 33.1 13.7 2.5 6.1 13 5 1.5 25.1
"Apostol Santiago" 11966 34.3 12.3 2.5 7.2 12.7 4.7 1.3 24.8
"Valdefuentes" 40022 49.6 8.5 4.5 7.6 10 2.9 1.2 15.7
"San Andres" 29960 21.4 16.1 1.8 5.2 13.5 6.8 1.7 33.6
"San Cristobal" 8525 15.1 14.1 1 4.2 11 7 1.6 46.1
"Butarque" 12951 24.7 13.6 2.6 6.1 19.8 7.3 1.6 24.2
"Los Rosales" 25124 23 16 2.2 5 15.2 6.4 1.6 30.6
"Los Angeles" 23177 27 16.1 1.9 5.5 14.4 6.4 1.2 27.4
"VallecasCH" 27040 19.5 14.7 1.5 4.7 16.4 7.9 1.6 33.7
"Santa Eugenia" 19007 30.2 15.8 2.4 5.6 15.7 6.6 1.7 21.9
"VallecasEnsanch" 32078 27 11.1 3.4 5.9 20.6 7.3 1.9 22.8
"VicalvaroCH" 23488 24.4 15.7 1.7 5.2 12.9 6.2 1.5 32.4
"Ambroz" 13848 25.2 15.8 3.2 4.9 21.1 8.6 1.5 19.7
"Valderrivas" 12184 33.7 13.5 4.4 5.9 21.2 6 2 13.3
"Canaveral" 2985 32.3 8.7 4.4 7.9 19.2 5.4 1.9 20.2
